Hist,count
a949,3
10101,3
a1,3
10038,3
142a1,3
142a8,3
10021,3
953a,3
1295e,3
12955,3
9e52,3
12949,3
9d4a,3
12927,3
12925,3
a070,3
a101,3
12529,3
8085,3
12a95,3
a4a5,3
a4a9,3
17,3
124a5,3
12495,3
8,3
10f42,3
10f0a,3
94ea,3
14a7a,3
bcaa,3
aaf2,3
aaa9,3
3fffd,3
e10a,3
38850,3
8710,3
1493a,3
394aa,3
aa7a,3
ccc5,3
f492,3
80a8,3
c550,3
3fff7,3
3880a,3
14953,3
10005,3
aa49,3
9249,3
22a80,2
2bd42,2
c42,2
a310,2
2af52,2
22dd5,2
a302,2
3810,2
4018,2
3c2a,2
3fffb,2
c50,2
21e02,2
a4a7,2
2a023,2
af52,2
ba4a,2
2f552,2
2f2aa,2
2eeee,2
a8e,2
4600,2
a007,2
2e92a,2
43c2,2
2e050,2
a15e,2
ba52,2
7,2
2dd55,2
3c210,2
125d2,2
12557,2
24a5e,2
18,2
2cb33,2
a118,2
1253a,2
1423,2
254ea,2
25527,2
10803,2
10a3,2
1e80,2
2557a,2
118a,2
3edb6,2
f0aa,2
25e92,2
10818,2
f552,2
26667,2
10070,2
803,2
27552,2
2a5d2,2
aa3a,2
27aaa,2
10023,2
1802,2
ccc6,2
2aac5,2
a4ea,2
11880,2
1503,2
2aab1,2
3ffdf,2
24aea,2
2aaac,2
3d555,2
2a4a7,2
3000,2
23aa,2
217a,2
2929e,2
a57a,2
252a7,2
215e,2
253aa,2
2a53a,2
2023,2
3294a,2
955e,2
13a52,2
1c0,2
92f2,2
23,2
37fff,2
1527a,2
38,2
6280,2
12aea,2
36d97,2
9527,2
152a7,2
34050,2
1d2aa,2
8e,2
17842,2
153aa,2
3400a,2
3680a,2
18a80,2
1421e,2
5c50,2
1880a,2
1802a,2
12a97,2
17a4a,2
925e,2
3333e,2
14aea,2
8087,2
80a2,2
4dd5,2
35550,2
3aa92,2
710a,2
354aa,2
15087,2
129ea,2
3850a,2
1c280,2
1297a,2
15556,2
1518a,2
30142,2
34a92,2
1c010,2
150a3,2
1558a,2
7080,2
7850,2
3dfff,1
3aa80,1
3df6d,1
e2,1
62a,1
702,1
3a842,1
3a4aa,1
3efff,1
3554a,1
35abd,1
3efbf,1
3eefd,1
3ee66,1
3569d,1
3e6bb,1
2a8c0,1
3575d,1
35ab7,1
3edb7,1
600,1
1e,1
2a93a,1
357b5,1
3ffee,1
2a527,1
38002,1
b8,1
3fefb,1
3feff,1
3ffbe,1
2a4ea,1
3ffcd,1
3924a,1
85e,1
3fee6,1
3ffef,1
2a1c0,1
38aaa,1
3fff3,1
f0,1
3fffc,1
c0,1
38142,1
38842,1
2f5ab,1
3952a,1
35dab,1
3f7db,1
3a10a,1
2a74a,1
35deb,1
35f57,1
3a000,1
39aed,1
a3,1
3692a,1
2a7aa,1
36add,1
3f7ff,1
3fbbf,1
36bd5,1
3fbed,1
3fbff,1
3fcd7,1
3fdff,1
37fdf,1
18a,1
2da4a,1
30a80,1
2d97d,1
2d6d7,1
2d5bf,1
31080,1
31400,1
2d3a9,1
2d014,1
3ca4a,1
2cbe8,1
2db75,1
31542,1
315ff,1
2bfff,1
31755,1
318ff,1
31fff,1
2beaf,1
2bd4a,1
3254a,1
3ca52,1
33317,1
2eaeb,1
2fabd,1
2f555,1
3b575,1
2f292,1
2f080,1
2f010,1
3bbf5,1
2fd55,1
2fffb,1
2ed5b,1
3bedb,1
2bab5,1
2ea92,1
3bfff,1
21e,1
2e666,1
2ffff,1
2dd5d,1
3aef5,1
3c050,1
3aed7,1
3080a,1
30842,1
3,1
2aab5,1
3d542,1
3d54a,1
3abab,1
3ab5b,1
34210,1
3492a,1
3d552,1
3494a,1
3aaab,1
3d6ad,1
3d52a,1
3c2,1
2aa7a,1
35010,1
3aaaa,1
3d0,1
35292,1
35492,1
407,1
3da02,1
423,1
2a9d2,1
2aead,1
2b7fd,1
2b692,1
2b5b5,1
2b5ab,1
2b56f,1
146,1
3ca92,1
2af5d,1
3ad5b,1
118,1
2aebb,1
35542,1
2adff,1
2ad6d,1
333ea,1
2ab15,1
3d24a,1
2aad5,1
33ed0,1
3abad,1
2aab6,1
34042,1
808e,1
152ba,1
6050,1
6210,1
15297,1
63ff,1
1525e,1
6aaf,1
1503a,1
7550,1
780a,1
14bd2,1
7a02,1
14a97,1
14a5e,1
14a57,1
153d2,1
818a,1
81d0,1
855e,1
14927,1
1470a,1
143d0,1
143c2,1
142e2,1
9257,1
1428e,1
14287,1
1423a,1
14217,1
92a7,1
92ba,1
1574a,1
17a80,1
503a,1
17952,1
1792a,1
176ad,1
175ad,1
16b6b,1
16b57,1
16adf,1
1667d,1
15fff,1
15ebb,1
15d77,1
15bab,1
15792,1
9497,1
15702,1
156d2,1
156d0,1
156ad,1
1562b,1
155ea,1
155d2,1
155ab,1
50a3,1
15527,1
15503,1
154a7,1
55c0,1
15462,1
1540e,1
e842,1
108c0,1
a803,1
a818,1
10302,1
10144,1
a927,1
a93a,1
a957,1
a97a,1
f292,1
aa57,1
eaaf,1
ea92,1
aa9e,1
e92a,1
108ea,1
e280,1
e00a,1
abaa,1
cfa9,1
ccfa,1
c7ff,1
c755,1
c63f,1
c400,1
c0aa,1
c010,1
bf55,1
bd2a,1
abc2,1
b33e,1
a100,1
14003,1
13caa,1
13aaa,1
94a7,1
12e92,1
12baa,1
12aa7,1
12a9e,1
974a,1
9d2a,1
129d2,1
9e92,1
9eaa,1
a062,1
127aa,1
17a92,1
1254d,1
a103,1
124f2,1
a497,1
124a7,1
a4ba,1
11d50,1
11c2a,1
11c00,1
11802,1
10e00,1
10ae2,1
a527,1
a752,1
2803,1
257aa,1
1e02,1
2004,1
2007,1
254f2,1
25497,1
2062,1
253ca,1
252ea,1
2103,1
2529e,1
2527a,1
2525e,1
24f2a,1
24eaa,1
2662d,1
24bca,1
24aa7,1
2a17,1
2b8a,1
2f50,1
3150,1
24927,1
23842,1
231ff,1
23150,1
22fd5,1
22a02,1
22842,1
22142,1
21c42,1
28710,1
29d49,1
29d2a,1
2955e,1
e80,1
eaa,1
294f2,1
f0a,1
29497,1
f42,1
103a,1
292a6,1
29297,1
108e,1
2925e,1
10a0,1
3802,1
1407,1
1420,1
28407,1
281d0,1
1462,1
27da0,1
27952,1
2794a,1
274aa,1
26bb5,1
267da,1
267d4,1
2667d,1
2662f,1
1af55,1
1deb5,1
1daf5,1
1d6b5,1
1d5ad,1
1d50a,1
1d292,1
1d080,1
1d002,1
1c202,1
1c080,1
1b757,1
1b65f,1
1b5f5,1
1b2fa,1
1afab,1
470a,1
1adaf,1
1ab75,1
19f52,1
199f5,1
1998c,1
1998b,1
198c7,1
198bf,1
18fff,1
18f55,1
18eab,1
18c7f,1
18bf5,1
18842,1
17ffd,1
423a,1
21518,1
3842,1
21470,1
21462,1
3850,1
211c2,1
210e2,1
3d0a,1
20742,1
2070a,1
20400,1
203d0,1
202a3,1
20287,1
20284,1
ab8,1
428e,1
20080,1
20018,1
20010,1
20003,1
1ffff,1
1fff7,1
1f57b,1
1ebb5,1
1eaaa,1
1ea52,1
1ea02,1
462a,1
1e142,1
